title,originallink,link,description,pubDate
[포토]중앙지법 도착한 이재용 <b>삼성전자</b> 부회장,http://www.edaily.co.kr/news/newspath.asp?newsid=01922086629178480,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=018&aid=0005032715,이재용 <b>삼성전자</b> 부회장이 9일 오전 서초구 서울 중앙지방법원에서 열린 회계부정·부당합병 관련 1심 속행 공판에 출석하고 있다.,"Thu, 09 Sep 2021 10:15:00 +0900"
"<b>삼성전자</b>, 한층 강화된 성능 '마이크로 SD카드' 신제품 출시",http://www.seoulwire.com/news/articleView.html?idxno=450815,http://www.seoulwire.com/news/articleView.html?idxno=450815,<b>삼성전자</b>가 이전 모델 대바 개선된 성능을 갖춘 마이크로 SD카드 신제품을 시장에 공개했다. 사진=<b>삼성전자</b> 제공. <b>삼성전자</b>가 SD카드 신제품 '프로 플러스(PRO PLUS)'와' 에보 플러스(EVO PLUS)'를 출시했다고 8일 밝혔다.... ,"Wed, 08 Sep 2021 08:40:00 +0900"
"<b>삼성전자</b>, 글로벌 브랜드 가치 13위로 하락…애플·TSMC에 밀려",https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2021090715490980892,https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2021090715490980892,"<b>삼성전자</b>의 글로벌 브랜드 가치가 크게 하락해 전체 순위가 10위권 밖으로 밀려났다. 스마트폰 경쟁사인 미국 애플에 뒤지고, 반도체 경쟁 업체인 대만 TSMC에도 밀렸다. 영국 글로벌 브랜드 컨설팅 업체... ","Tue, 07 Sep 2021 15:56:00 +0900"
"리서치알음 “로체시스템즈, <b>삼성전자</b> 폴더블폰 대중화 선언 수혜주”",http://www.fnnews.com/news/202109060912081212,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004703811,"리서치알음은 6일 로체시스템즈에 대해 <b>삼성전자</b>의 폴더블폰 ‘대중화’ 선언에 따른 수혜가 기대된다고 봤다. 이에 주가전망은 ‘긍정적’, 적정주가는 8700원을 제시했다. 김도윤 리서치알음 연구원은 “최근... ","Mon, 06 Sep 2021 09:14:00 +0900"
"<b>삼성전자</b>, 성능·안정성·내구성 겸비한 '마이크로 SD카드' 출시",http://www.cctvnews.co.kr/news/articleView.html?idxno=230327,http://www.cctvnews.co.kr/news/articleView.html?idxno=230327,<b>삼성전자</b>가 성능은 물론 안정성과 내구성까지 3박자를 갖춘 마이크로 SD카드 신제품을 선보인다. <b>삼성전자</b>가 성능과 안정성을 한층 강화한 마이크로 SD카드 신제품 '프로 플러스(PRO Plus)'와 '에보 플러스(EVO Plus)'를... ,"Wed, 08 Sep 2021 16:18:00 +0900"
"<b>삼성전자</b>, 성능ㆍ안정성 강화한 '마이크로 SD카드 신제품' 출시!",http://www.thedrive.co.kr/news/newsview.php?ncode=1065594322476835,http://www.thedrive.co.kr/news/newsview.php?ncode=1065594322476835,<b>삼성전자</b>가 성능과 안정성을 한층 강화한 마이크로 SD카드 신제품 'PRO PLUS'와 'EVO PLUS'을 출시했다. 'PRO PLUS'와 'EVO PLUS'는 2015년 출시 이후 마이크로 SD카드 시장에서 소비자들로부터 꾸준한 사랑을 받아온... ,"Wed, 08 Sep 2021 15:31:00 +0900"
"<b>삼성전자</b>, 화상회의 최적 ‘웹캠 모니터’ 선봬",http://it.chosun.com/site/data/html_dir/2021/09/14/2021091400980.html,http://it.chosun.com/site/data/html_dir/2021/09/14/2021091400980.html,"<b>삼성전자</b>가 화상 회의에 최적화된 '웹캠(Webcam) 모니터'를 14일 북미와 유럽, 동남아 등 글로벌 주요 시장에 출시한다고 밝혔다. <b>삼성</b> 웹캠 모니터(모델명 S40VA)는 화상 회의용 웹캠 카메라와 마이크가 필요할 때만... ","Tue, 14 Sep 2021 11:22:00 +0900"
&quot;<b>삼성전자</b> 반도체 핵심비법 정부가 관리하겠다는 꼴&quot;…네이버 카카오 쿠팡 배...,http://news.mk.co.kr/newsRead.php?no=876677&year=2021,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004851078,그는 &quot;<b>삼성전자</b>의 반도체 공정 핵심 비법을 정부가 관리하겠다는 것과 마찬가지 아니냐&quot;며 &quot;검색 알고리즘은 플랫폼 기업의 핵심 영업기밀이다. 우리가 공공기관도 아니고 사기업의 정보를 쥐락펴락하겠다는 게 말이 안... ,"Fri, 10 Sep 2021 17:46:00 +0900"
재판 출석하는 이재용 <b>삼성전자</b> 부회장 [포토],http://news.tf.co.kr/read/photomovie/1887069.htm,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=629&aid=0000105189,이재용 <b>삼성전자</b> 부회장이 9일 서울 서초구 서울중앙지방법원에서 자본시장과 금융투자업에 관한 법률 위반 혐의 등으로 열린 공판에 출석하고 있다. 사진영상기획부,"Thu, 09 Sep 2021 10:03:00 +0900"
"<b>삼성전자</b>, 시스템 반도체 4종 '제품 탄소 발자국' 인증…환경 인증 대상 확대",http://www.lcnews.co.kr/news/articleView.html?idxno=24103,http://www.lcnews.co.kr/news/articleView.html?idxno=24103, <b>삼성전자</b>가 메모리에 이어 시스템 반도체 제품에 대해서도 '국제 환경 인증'을 받았다. <b>삼성전자</b>는 영국 카본 트러스트(The Carbon Trust)로부터 고성능 시스템 반도체 제품 4종에 대해 '제품 탄소 발자국(Product Carbon... ,"Thu, 09 Sep 2021 10:29:00 +0900"
